City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,okhotsk,59.3833,143.3,12.07,91,100,2.56,RU,1721534645
223,naze,28.3667,129.4833,31.51,70,11,2.83,JP,1721534647
224,tuensang,26.2833,94.8333,22.37,98,100,0.91,IN,1721534649
225,pudasjarvi,65.3833,26.9167,13.01,58,22,2.91,FI,1721534650
226,champerico,14.3,-91.9167,26.57,80,85,2.28,GT,1721534651
227,bamboo flat,11.7,92.7167,30.05,79,100,5.14,IN,1721534649
228,antsiranana,-12.2787,49.2917,21.42,60,20,6.17,MG,1721534654
229,mata-utu,-13.2816,-176.1745,27.33,74,5,8.18,WF,1721534656
230,cabedelo,-6.9811,-34.8339,21.37,84,52,4.88,BR,1721534409
231,ilagan,17.1485,121.8892,25.25,97,100,2.97,PH,1721534658
232,zhongshu,24.5167,103.7667,22.65,81,92,2.03,CN,1721534659
233,trevelin,-43.0858,-71.4639,-0.29,88,7,1.1,AR,1721534660
234,sumbe,-11.2061,13.8437,20.18,90,87,1.64,AO,1721534661
235,hithadhoo,-0.6,73.0833,28.89,74,36,3.67,MV,1721534663
236,mejit,10.2753,170.8646,28.13,80,21,6.9,MH,1721534664
237,songea,-10.6833,35.65,15.64,88,0,0.0,TZ,1721534665
238,arraial do cabo,-22.9661,-42.0278,20.16,73,0,1.13,BR,1721534666
239,sandnessjoen,66.0217,12.6316,15.29,74,58,7.45,NO,1721534667
240,port-gentil,-0.7193,8.7815,23.05,77,10,4.31,GA,1721534474
241,azul,-36.777,-59.8585,6.21,96,100,2.46,AR,1721534408
242,afaahiti,-17.75,-149.2833,23.93,60,91,10.81,PF,1721534671
243,acapulco de juarez,16.8634,-99.8901,24.91,82,91,0.96,MX,1721534406
244,colonia,50.9333,6.95,21.09,88,0,1.54,DE,1721534673
245,san borja,-14.8167,-66.85,19.7,64,1,0.94,BO,1721534674
246,joao pinheiro,-17.7425,-46.1725,17.13,49,0,2.71,BR,1721534449
247,idri,27.5,13.2667,27.9,24,0,4.86,LY,1721534676
248,sisimiut,66.9395,-53.6735,8.11,81,7,0.21,GL,1721534678
249,santa rosalia,27.3167,-112.2833,29.38,61,0,2.11,MX,1721534680
250,gorontalo,0.5412,123.0595,31.08,60,74,4.88,ID,1721534681
251,tabou,4.423,-7.3528,23.84,86,100,4.56,CI,1721534682
252,longyearbyen,78.2186,15.6401,7.91,76,75,2.06,SJ,1721534683
253,merowe,18.4833,31.8167,34.25,36,49,4.89,SD,1721534686
254,ulsteinvik,62.3432,5.8487,18.51,83,2,1.79,NO,1721534687
255,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,64,20,7.0,RU,1721534688
256,loreto,22.2667,-101.9667,18.03,71,54,4.34,MX,1721534689
257,vryheid,-27.7695,30.7917,5.89,80,18,1.07,ZA,1721534690
258,kodinsk,58.6881,99.1844,26.44,57,16,3.11,RU,1721534693
259,pokhara,28.2333,83.9833,22.57,95,100,0.11,NP,1721534581
260,ola,59.5833,151.2833,12.88,83,100,1.8,RU,1721534695
261,bezopasnoye,45.6483,41.936,24.87,57,100,2.83,RU,1721534696
262,hajdunanas,47.85,21.4333,23.18,64,100,1.19,HU,1721534697
263,aroma,15.8167,36.1333,26.55,70,90,6.5,SD,1721534698
264,kavieng,-2.5744,150.7967,28.94,76,68,6.48,PG,1721534699
265,berezovo,63.9381,65.0419,12.49,53,56,5.81,RU,1721534701
266,onguday,50.75,86.15,14.83,96,100,1.4,RU,1721534702
267,puerto armuelles,8.2833,-82.8667,27.27,87,100,0.45,PA,1721534703
268,umm ruwaba,12.9061,31.2158,26.39,68,27,5.2,SD,1721534704
269,angra do heroismo,38.65,-27.2167,23.34,95,40,2.87,PT,1721534705
270,prince rupert,54.3161,-130.3201,16.05,84,100,3.6,CA,1721534706
271,suining,30.508,105.5733,29.45,83,100,3.92,CN,1721534708
272,howrah,22.5892,88.3103,32.0,79,75,4.12,IN,1721534709
273,gotsucho,35.0,132.2167,29.65,72,7,7.0,JP,1721534710
274,merta,26.65,74.0333,33.41,58,69,3.44,IN,1721534711
275,yemva,62.59,50.8594,16.22,63,1,2.88,RU,1721534712
276,salina cruz,16.1667,-95.2,25.78,88,100,1.62,MX,1721534713
277,walvis bay,-22.9575,14.5053,10.61,87,16,4.12,NA,1721534715
278,huicheng,23.0385,116.2899,32.28,65,54,4.64,CN,1721534716
279,altay,47.8667,88.1167,24.95,36,96,3.42,CN,1721534717
280,san antonio de pale,-1.4014,5.6325,22.72,70,66,3.24,GQ,1721534718
281,whittlesea,-32.1759,26.8244,1.11,84,36,0.63,ZA,1721534719
282,labrador city,52.9463,-66.9114,9.95,66,40,3.6,CA,1721534720
283,salekhard,66.53,66.6019,12.83,51,1,1.91,RU,1721534721
284,prabumulih,-3.45,104.25,31.3,53,29,2.33,ID,1721534723
285,shakawe,-18.3667,21.85,12.0,24,0,1.61,BW,1721534724
286,sola,-13.8833,167.55,29.37,79,75,2.57,VU,1721534725
287,kwang binh,17.4833,106.6,33.29,58,100,2.65,VN,1721534726
288,porto velho,-8.7619,-63.9039,24.03,73,0,1.03,BR,1721534727
289,loch garman,52.3342,-6.4575,12.16,100,98,3.13,IE,1721534728
290,bani walid,31.7566,13.9942,25.04,51,0,2.36,LY,1721534729
291,bridgewater,44.3835,-64.5155,17.82,72,56,1.03,CA,1721534460
292,mount gambier,-37.8333,140.7667,13.26,93,89,5.76,AU,1721534732
293,bure,10.7,37.0667,14.84,100,100,0.81,ET,1721534733
294,geraldton,-28.7667,114.6,17.23,67,0,6.17,AU,1721534734
295,tofol,5.3248,163.0078,28.88,84,75,2.57,FM,1721534735
296,aktau,43.65,51.2,28.32,50,100,4.02,KZ,1721534736
297,peace river,56.2501,-117.286,27.17,50,0,2.06,CA,1721534738
298,yaren,-0.5472,166.916,28.7,77,19,6.76,NR,1721534739
299,vadso,70.0744,29.7487,14.49,100,100,1.03,NO,1721534740
300,tulun,54.5611,100.5792,23.81,71,100,2.38,RU,1721534741
301,el calafate,-50.3408,-72.2768,0.67,76,96,1.28,AR,1721534743
302,belding,43.0978,-85.2289,19.12,86,93,2.63,US,1721534745
303,puerto baquerizo moreno,-0.9,-89.6,21.26,82,91,6.24,EC,1721534746
304,adam,22.3756,57.5233,32.12,49,100,1.31,OM,1721534747
305,nova vicosa,-17.8919,-39.3719,22.85,78,27,2.6,BR,1721534555
306,cockburn town,21.4612,-71.1419,27.98,89,75,7.72,TC,1721534749
307,antigonish,45.6169,-61.9986,20.1,84,89,2.5,CA,1721534750
308,noyabrsk,63.1994,75.4507,14.47,46,100,8.52,RU,1721534751
309,newman,37.3138,-121.0208,32.99,40,0,5.37,US,1721534578
310,antalaha,-14.9003,50.2788,19.18,75,38,2.56,MG,1721534754
311,remire-montjoly,4.9167,-52.2667,25.02,100,0,0.0,GF,1721534755
312,nikolayevsk-on-amure,53.1406,140.73,21.3,85,100,0.74,RU,1721534756
313,billings,45.7833,-108.5007,26.87,29,75,1.54,US,1721534757
314,palmer,42.1584,-72.3287,21.21,90,0,0.0,US,1721534758
315,la sarre,48.8002,-79.1996,8.41,82,0,2.12,CA,1721534760
316,mercedes,-34.6515,-59.4307,10.91,96,100,2.3,AR,1721534231
317,korocha,50.8107,37.1953,18.4,59,14,2.2,RU,1721534762
318,ketchikan,55.3422,-131.6461,16.3,86,100,1.16,US,1721534763
319,camacupa,-12.0167,17.4833,10.26,26,0,2.35,AO,1721534764
320,pursat,12.3333,103.6667,24.99,84,100,1.22,KH,1721534765
321,maisi,43.0395,41.2621,20.24,65,50,0.12,GE,1721534766
322,utrik,11.2278,169.8474,27.86,82,15,7.69,MH,1721534768
323,tocoa,15.6833,-86.0,24.83,97,99,1.18,HN,1721534769
324,mega,4.05,38.3,14.58,89,100,4.19,ET,1721534770
325,fort stockton,30.894,-102.8793,26.2,55,38,2.68,US,1721534771
